SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,High_log,Low_log,Open_log,Close_log,Volume_log,Marketcap_log,High_log_zscore,High_log_anomaly,Low_log_zscore,Low_log_anomaly,Open_log_zscore,Open_log_anomaly,Close_log_zscore,Close_log_anomaly,Volume_log_zscore,Volume_log_anomaly,Marketcap_log_zscore,Marketcap_log_anomaly,log_return,log_high_low_spread,log_close_open_return
272,Bitcoin,BTC,2014-01-25 23:59:59,861.4500122070312,792.9600219726562,796.239990234375,853.6099853515625,24303900.0,10509539618.8,6.758617030148746,6.675772806710388,6.679900635673133,6.749474397847383,17.00614738926018,23.07554921676547,0.12933456310336458,False,-0.17235381859145524,False,-0.5558522389426246,False,0.427700690570121,False,-0.5905883150925326,False,0.5038546155657461,False,0.06853188436491209,0.08284422343835818,0.06957376217425004
273,Bitcoin,BTC,2014-01-26 23:59:59,897.02001953125,844.8599853515625,853.6799926757812,885.280029296875,32224300.0,10902798632.0,6.799078180127751,6.739170915818973,6.7495564077287264,6.785904012243142,17.28823138428827,23.112285348454883,0.627157651618882,False,0.819497911561658,False,0.42835065868684286,False,0.925098877020812,False,0.009131148946695316,False,0.9945903723591862,False,0.0364296143957592,0.059907264308777464,0.036347604514415544
274,Bitcoin,BTC,2014-01-27 23:59:59,893.0,757.1099853515625,884.5999755859375,771.3900146484375,49233600.0,9503544084.75,6.794586580876499,6.629508533969009,6.785135537835241,6.648194101236675,17.712086875203394,22.97493062753538,0.5147559351001796,False,-1.215198680824269,False,0.9146204909501656,False,-1.352201675407121,False,0.8413621723615707,False,-1.2423070454330634,False,-0.1377099110064668,0.16507804690748973,-0.1369414365985655
275,Bitcoin,BTC,2014-01-28 23:59:59,832.5,766.97998046875,774.02001953125,812.510009765625,44875500.0,10013251363.5,6.724433221854599,6.642460699942849,6.651597738282688,6.700128233839544,17.619402546771926,23.027175189072153,-0.6223441828157656,False,-1.1042056053381006,False,-1.3041452464342627,False,-0.5693467480352516,False,0.604154643350001,False,-0.46638881415904154,False,0.05193413260286839,0.08197252191174975,0.04853049555685551
276,Bitcoin,BTC,2014-01-29 23:59:59,836.8699951171875,809.8499755859375,809.9600219726562,826.0,17984400.0,10182659550.0,6.72966873598506,6.696849015186005,6.696984890859144,6.716594773520978,16.705015273421086,23.043952066404103,-0.6247949747139699,False,-0.06062750298118668,False,-0.6361653799880245,False,-0.34959828481682786,False,-1.2565075337116456,False,-0.24435610382882456,False,0.016466539681434078,0.03281972079905504,0.01960988266183339
277,Bitcoin,BTC,2014-01-30 23:59:59,830.5,799.0599975585938,826.02001953125,819.030029296875,29918200.0,10100339387.2,6.72202792905335,6.683436033758857,6.716619009947915,6.708120748989045,17.213977548833032,23.035834862922137,-0.8779410012662575,False,-0.443132453708148,False,-0.3515180072125717,False,-0.6081695664212472,False,-0.2473781832324359,False,-0.5018213072340163,False,-0.008474024531932578,0.03859189529449214,-0.008498260958869963
278,Bitcoin,BTC,2014-01-31 23:59:59,831.8699951171875,812.5999755859375,818.4299926757812,829.9199829101562,17107900.0,10238411820.0,6.7236761727432235,6.700238953509246,6.707387861907956,6.721329290010932,16.65505090309324,23.049412348826067,-0.9594006726566764,False,-0.11221134480201157,False,-0.6249569133866573,False,-0.41155191215516057,False,-1.3560423239831663,False,-0.29966612437053197,False,0.01320854102188651,0.023437219233977125,0.013941428102975273
279,Bitcoin,BTC,2014-02-01 23:59:59,853.52001953125,827.1099853515625,828.6099853515625,832.5800170898438,19668700.0,10275202812.0,6.749368997766384,6.71793767935085,6.719749580441512,6.724529333860129,16.79453909768803,23.05299933552807,-0.482328348442445,False,0.27870496419087515,False,-0.4420862905866577,False,-0.37661862033247984,False,-1.0106925862167289,False,-0.2641250807995731,False,0.003200043849197698,0.03143131841553348,0.004779753418617361
280,Bitcoin,BTC,2014-02-02 23:59:59,844.719970703125,820.6699829101562,832.9000244140625,825.3699951171875,11300900.0,10190038654.2,6.739005176815908,6.710121058982206,6.724913616253412,6.715831764727988,16.240392926528692,23.04467647752027,-0.709015555953843,False,0.04165205626749818,False,-0.36367250636088017,False,-0.5788817709023588,False,-1.9013307013617307,False,-0.4784980664799067,False,-0.008697569132141147,0.028884117833702483,-0.009081851525423623
281,Bitcoin,BTC,2014-02-03 23:59:59,826.47998046875,807.219970703125,824.0800170898438,823.8300170898438,13940100.0,10174774202.2,6.717175694909342,6.693596209445847,6.714267633313526,6.713964218689266,16.45028013687207,23.043177376598862,-1.1107891449684237,False,-0.4032994937802513,False,-0.6019605853553897,False,-0.586551602158891,False,-1.4000072224618931,False,-0.48889630282413893,False,-0.001867546038722523,0.023579485463494976,-0.0003034146242599789
282,Bitcoin,BTC,2014-02-04 23:59:59,840.1699829101562,820.9400024414062,823.77001953125,827.9600219726562,16609700.0,10229342305.0,6.733604231972542,6.7104500281479575,6.713891388442498,6.718964870577896,16.625497420017577,23.048526124031863,-0.7280453257738171,False,0.08171414535501043,False,-0.5771604268718875,False,-0.4229382941438091,False,-1.0236621034458615,False,-0.3064042620291016,False,0.005000651888630081,0.023154203824584663,0.005073482135397711
283,Bitcoin,BTC,2014-02-05 23:59:59,837.3200073242188,811.9099731445312,829.9600219726562,811.9099731445312,22395100.0,10034436285.5,6.730206323973535,6.699389463503428,6.721377533332606,6.699389463503428,16.924352742895998,23.02928864277878,-0.8430405783617012,False,-0.14009666142498473,False,-0.3551614193583529,False,-0.9234062360102445,False,-0.41839365460799094,False,-0.797509819035357,False,-0.019575407074468032,0.030816860470107343,-0.021988069829178336
